Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1,"Z.P. UPS, MANSAR",27090600101,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,MANSAR,441401,AT MANSAR POST MANSAR TAH. RAMTEK DIS. NAGPUR,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Mansar,Mansar,Ramtek
2,"SHRI CHAKRADHAR SWAMI VIDYALAYA, MANSAR",27090600102,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,MANSAR,441401,MANSAR TAH-RAMTEK DIST-NAGPUR STATE-MAHARASHTRA,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Mansar,Mansar,Ramtek
3,"RASHTRIYA ADARSH VIDYALAYA, MANSAR",27090600103,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,MANSAR,441401,MANSAR TA. RAMTEK DI.- NAGPUR,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Mansar,Mansar,Ramtek
4,"PROVIDANCE ENGLISH SCH, MANSAR",27090600104,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,MANSAR,441401,"Providence School, Mansar, Ramtek Road, Nagpur Dist 441401",Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Mansar,Mansar,Ramtek
5,"YASHODA MATIMAND MULAMULINCHI NIWASI SCHOOL, MANSAR",27090600105,MAHARASHTRA,NAGPUR,RAMTEK,,MANSAR,441401,,Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Permanently Closed,Mansar,Mansar,Ramtek
6,"Z.P. UPS, KANDRI",27090600201,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,KANDRI,441401,AT KANDRI POST MANSAR TAH RAMTEK DIS NAGPUR,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Kandri,Kandri,Ramtek
7,"PRAKASH HIGH SCHOOL, KANDRI",27090600202,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,KANDRI,441401,Kandri mine Ta.ramtrk Dist.Nagpur,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Kandri,Kandri,Ramtek
8,"Z.P. PS, KANDRI (MINE)",27090600203,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,KANDRI,441401,AT KANDRIMINE POST MANSAR TAH RAMTEK,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Kandri,Kandri,Ramtek
9,Z. P. PS HIWARA,27090600301,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,HIWARA,441401,At-Hiwara Kandri Po-Kandri Ta-Ramtek Dist-Nagpur,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Hiwara (Bende),Kandri,Ramtek
10,"Z. P. PS, BONDRI",27090600401,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,BONDRI,441401,"Bondri, Post- Kandri, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Bondri,Kandri,Ramtek
11,"Z. P. UPS, BHILEWADA",27090600501,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,BHILEWADA,441106,"at post bhilewada, ta ramtek, dist.nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Bhilewada,Bhilewada,Ramtek
12,"MIRAI PUBLIC SCHOOL,BHILEWADA,TA-RAMTEK",27090600502,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,BHILEWADA,441106,"Bhilewada,Tah-Ramtek Dist-Nagpur",Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Operational,Bhilewada,Bhilewada,Ramtek
13,"Z. P. UPS, KHUMARI",27090600601,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,KHUMARI,441401,Near Baba Taj Convent School,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Khumari,Khumari,Ramtek
14,"PUNYASHLOK VIDYANIKETAN, KHUMARI",27090600602,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,KHUMARI,441401,At Post Khumari ta Ramtek Dist Nagpur,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Khumari,Khumari,Ramtek
15,"BABA TAJ ENGLISH PRIMARY SCHOOL, KHUMARI",27090600603,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,KHUMARI,441401,at.post.khumari.ta ramtek.ngp,Private Unaided (Recognized) ,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Rural,Operational,Khumari,Khumari,Ramtek
16,"Z. P. PS, MARARWADI",27090600701,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,MARARWADI,441401,at.mararwadi post.bhondewada.ta.ramtek dist.nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Bhondewada,Khumari,Ramtek
17,"Z. P. PS, SARAKHA",27090600801,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,SARAKHA,441401,sarakha po.borda ta.Ramtek Dt.Nagpur,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sarakha,Borda,Ramtek
18,"Z. P. UPS, BORDA",27090600901,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,BORDA,441401,"near hanuman mandir, borda, po.borda, ta.ramtek,dist.nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Borda,Borda,Ramtek
19,"Z.P. UPS, SATRAPUR",27090601001,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,SATRAPUR,441401,At.satrapur Post.Borda Ta.Ramtek Dt. Nagpur,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Chhatrapur,Borda,Ramtek
20,"Z. P. UPS, PATGOWARI",27090601101,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,PATGOWARI,441105,at. patgowari.post.naykund tq.ramtek dist. nagpur,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Patgowari,Patgowari,Ramtek
21,"Z. P. PS, HETITOLA",27090601201,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,HETITOLA,441401,at.hetitola post mansar ta.ramtek dist nagpur ,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Patgowari,Patgowari,Ramtek
22,"Z.P. PS, DOLAMINE",27090601301,MAHARASHTRA,NAGPUR,RAMTEK,MANSAR ,DOLAMINE,441105,at.Dolamine post.mansar tq.ramtek dist.nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Mansar,Mansar,Ramtek
23,"Z. P. UPS, PAWANI",27090601501,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,PAWANI,441401,at-pawani post-pawani tah-ramtek pin-441401,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pawni,Bothiyapalora,Ramtek
24,"JAISEWA ADARSH HIGH SCHOOL, POUNI",27090601502,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,PAWANI,441401,Paoni Ta. Ramtek Dist. Nagpur,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Pawni,Bothiyapalora,Ramtek
25,"Z.P. UPS, MOUDI",27090601601,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,MOUDI,441401,"At-Moudi, Ta-Ramtek, Dist-Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Moudi,Bothiyapalora,Ramtek
26,"Z.P. UPS, MANEGAON (HIWARA)",27090601801,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,MANEGAON  ( HIWARA),441404,"At.Manegaon Hiwara Po.Hiwara Bazar,Tha. Ramtek,Dist.Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Manegaon(Rithi),Warghat,Ramtek
27,"Z.P. PS, BOTHIYAPALORA",27090602001,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,BOTHIYA,441401,"Bothiyapalora Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bothiya(Palora),Bothiyapalora,Ramtek
28,Z.P. HS & JR. COLLEGE BOTHIYAPALORA,27090602002,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,BOTHIYA,441401,"AT BOTHIYA PALORA, POST-PAONI, TA-RAMTEK, DIST-NAGPUR",Local Body,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Bothiya(Palora),Bothiyapalora,Ramtek
29,"Z.P. PS, SITAPUR",27090602201,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,SITAPUR,441401,"At- Sitapur, Jabalpur Road, Po-Pawani, Ta-Ramtek",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sitapar,Bothiyapalora,Ramtek
30,"Z.P. PS, VANPAWANI",27090602301,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,VAN PAWANI,441401,"At- Vanpawani, Jabalpur Road, Ta-Ramtek",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Wanpauni,Bothiyapalora,Ramtek
31,"Z.P. PS, KHARPADA",27090602401,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,KHARPADA,441401,"Karpada, post- pawani, tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kharpada,Bothiyapalora,Ramtek
32,"Z.P. PS, SAWANGI",27090602501,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,SAWANGI,441401,"Sawangi, Post- Pawani, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sawangi,Bothiyapalora,Ramtek
33,"Z.P. PS, BANJARTOLA",27090602601,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,BANJAR TOLA,441401,"Banjartola, Post- Patharai, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pawni,Bothiyapalora,Ramtek
34,"Z.P. PS, CHORBAHULI",27090602701,MAHARASHTRA,NAGPUR,RAMTEK,AWANI ,CHORBAHULI,441401,at- chorbahuli post- khumari tah-ramtek pin-441401,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Chorbahuli (Mogra),Khumari,Ramtek
35,Z.P. PS. PIPARIYA,27090602901,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,PIPARIYA,441401,"AT-PIPARIYA,POST-PIPARIYA,TH-RAMTEK,DISTT-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pipriya,Pipriya,Ramtek
36,"Z.P. PS, WAGHOLI",27090603001,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,WAGHOLI,441401,"AT-WAGHOLI,POST-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pipriya,Pipriya,Ramtek
37,"Z.P. PS, SILLARI",27090603101,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,SILLARI,441401,"AT-SILLARI,POST-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sillari,Pipriya,Ramtek
38,"Z.P. PS, KHAPA",27090603201,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,KHAPA,441401,"AT-KHAPA, PO-PIPARIYA,TH-RAMTEK,DISTT-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Khapa,Pipriya,Ramtek
39,"Z.P. PS, FULZARI",27090603301,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,FULZARI(JANGLI),441401,"AT-FULZARI,PO-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Fulzari (Forest),Pipriya,Ramtek
40,"Z.P. UPS, GHOTI",27090603401,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,GHOTI,441401,"AT-GHOTI,POST-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Ghoti,Dahoda,Ramtek
41,JAYSEWA ADI. PRY ASHR.SCH.DAHODA,27090603501,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,DAHODA,441401,AT. DAHODA PO. PATHARAI TH. RAMTEK DIS. NAGPUR,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Dahoda,Dahoda,Ramtek
42,JAYSEWA ADI. MDY ASHR.SCH.DAHODA,27090603502,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,DAHODA,441401,AT DAHODA TA RAMTEK DIST NAGPUR,Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Rural,Operational,Dahoda,Dahoda,Ramtek
43,"Z.P. PS, AMBAZARI",27090603901,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,AMBAZARI,441401,At-Ambazari Po-Patharai Ta-Ramtek Dist-Nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Ambazari,Patharai,Ramtek
44,"Z.P. UPS, PATHARAI",27090604101,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,PATHARAI,441401,"AAAT-PATAHARAI, POST-PATHARAI,TH-RAMTEK,DIST-NAGPUR",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pathrai,Patharai,Ramtek
